column,id,description
admission_type_id,1,Emergency
admission_type_id,2,Urgent
admission_type_id,3,Elective
admission_type_id,4,Newborn
admission_type_id,5,Not Available
admission_type_id,6,NULL
admission_type_id,7,Trauma Center
admission_type_id,8,Not Mapped
discharge_disposition_id,1,Disposition-1
discharge_disposition_id,2,Disposition-2
discharge_disposition_id,3,Disposition-3
discharge_disposition_id,4,Disposition-4
discharge_disposition_id,5,Disposition-5
discharge_disposition_id,6,Disposition-6
discharge_disposition_id,7,Disposition-7
discharge_disposition_id,8,Disposition-8
discharge_disposition_id,9,Disposition-9
discharge_disposition_id,10,Disposition-10
discharge_disposition_id,11,Disposition-11
discharge_disposition_id,12,Disposition-12
discharge_disposition_id,13,Disposition-13
discharge_disposition_id,14,Disposition-14
discharge_disposition_id,15,Disposition-15
discharge_disposition_id,16,Disposition-16
discharge_disposition_id,17,Disposition-17
discharge_disposition_id,18,Disposition-18
discharge_disposition_id,19,Disposition-19
discharge_disposition_id,20,Disposition-20
discharge_disposition_id,21,Disposition-21
discharge_disposition_id,22,Disposition-22
discharge_disposition_id,23,Disposition-23
discharge_disposition_id,24,Disposition-24
discharge_disposition_id,25,Disposition-25
discharge_disposition_id,26,Disposition-26
discharge_disposition_id,27,Disposition-27
discharge_disposition_id,28,Disposition-28
discharge_disposition_id,29,Disposition-29
admission_source_id,1,Source-1
admission_source_id,2,Source-2
admission_source_id,3,Source-3
admission_source_id,4,Source-4
admission_source_id,5,Source-5
admission_source_id,6,Source-6
admission_source_id,7,Source-7
admission_source_id,8,Source-8
admission_source_id,9,Source-9
admission_source_id,10,Source-10
admission_source_id,11,Source-11
admission_source_id,12,Source-12
admission_source_id,13,Source-13
admission_source_id,14,Source-14
admission_source_id,15,Source-15
admission_source_id,16,Source-16
admission_source_id,17,Source-17
admission_source_id,18,Source-18
admission_source_id,19,Source-19
admission_source_id,20,Source-20
admission_source_id,21,Source-21
admission_source_id,22,Source-22
admission_source_id,23,Source-23
admission_source_id,24,Source-24
admission_source_id,25,Source-25
